0,1,2,3,4,5,6,7,8
-------------------------------------------------------------------------,,,,,,,,
NSS version,new NSPR version (optional),new CA list version (optional),NSS/NSPR API freeze & branchingBeta,NSS/NSPR Releasefrom branch,keep mozilla-centralon this NSS/NSPR branchuntil FF Beta rollover,Firefox version,Firefox release date,Release Manager
,,,,,,,,
3.39,4.20,2.26,2018-08-16,2018-08-23,2018-08-27,63,2018-10-23,
3.38,,,2018-06-14,2018-06-21,2018-06-25,62,2018-08-28,
3.37,,2.24,2018-04-26,2018-05-03,2018-05-07,61,2018-06-28,
3.36 (ESR),4.19,,2018-02-22,2018-03-01,2018-03-05,60,2018-05-01,
3.35,4.18,2.22,2018-01-04,2018-01-11,2018-01-15,59,2018-03-06,
3.34.1,,2.20,,2017-11-24,,58,,
3.34,,2.18,"2017-10-30
(3 days early)","2017-11-08
(1 day early)",2017-11-13,58,2018-01-16,
3.33,4.17,,2017-09-14,2017-09-21,2017-09-25,57,2017-11-14,
3.32,4.16,2.16,2017-07-27,2017-08-03,2017-08-07,56,2017-09-26,
-------------------------------------------------------------------------,,,,,,,,
NSS Version,NSS Certificate Bugs,Product Releases,Firefox,Thunderbird,SeaMonkey,,,
,,,,,,,,
,,,,,,,,
3.98,"bug 1870673: bug 1865450, bug 1873095, bug 1874017, bug 1879945",124,TBD,TBD,,,,
3.94,"bug 1842932: bug 1842935, bug 1850598, bug 1850982, bug 1851044, bug 1851049, bug 1855318, bug 1860670",121,TBD,TBD,,,,
3.92,"bug 1822935: bug 1833270, bug 1839992, bug 1840429, bug 1840437, bug 1822936, bug 1827224, bug 1840505, bug 1842928",117,TBD,TBD,,,,
3.89.1,"bug 1804498: bug 1804505, bug 1822921, bug 1822925",114,TBD,TBD,,,,
3.86,"bug 1794506: bug 1794495, bug 1794507, bug 1797559, bug 1799038, bug 1803453",109,TBD,TBD,,,,
3.83,"bug 1778413: bug 1785297, bug 1787075, bug 1778412",106,TBD,TBD,,,,
3.80,"bug 1764206: bug 1759815, bug 1764392, bug 1768970, bug 1770267",103,TBD,TBD,,,,
3.74,"bug 1733003: bug 1733012, bug 1733560, bug 1735407, bug 1738805, bug 1740095, bug 1740807, bug 1741930",97,102,TBD,,,,
3.71,"bug 1717716: bug 1717707, bug 1728394",94,102,TBD,,,,
3.66,"bug 1712229: bug 1697071, bug 1703942, bug 1707097, bug 1708307, bug 1710716",90,91,TBD,,,,
